Product,Category,Qty,Price,Total Price,Purchased at,Store,Source,Purchase Date
Макароны 365,Primary,1,16.89,16.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Рис 365,Primary,1,55.89,55.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Маргарин,Optionals,30.99,30.99,960.3801,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Порошок 365,Others,1,25.89,25.89,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Соломка,Snack,1,69.99,69.99,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Каша,Primary,2,13.49,26.98,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Гель для душа,Bathing Stuff,1,96.57,96.57,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Бумага 365,Others,1,6.39,6.39,"January 3, 2023",Лента,Tinkoff,"January 3, 2023"
Общежитие,Dormitory,1,2045,2045,"January 5, 2023",ИТМО,БСПБ МИР,"January 5, 2023"
Печенье Первым Делом,Snack,1,50,50,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Тушенка говядиная,Meat,1,31,31,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Сыр,Optionals,0.5,120,60,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Килька сардинес,Meat,1,33,33,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Груша китаийская,Fruit,0.74,149.9,110.926,"January 6, 2023",Дикси,Tinkoff,"January 6, 2023"
Yota,Connectivity,1,560,560,"January 6, 2023",Yota,Tinkoff,"January 6, 2023"
Батон,Optionals,2,15,30,"January 13, 2023 1:38 AM",Дикси,Tinkoff,
Мыло посуды,Kitchen Stuff,1,16,16,"January 13, 2023 1:38 AM",Дикси,Tinkoff,
Яйцо,Eggs,1,51,51,"January 13, 2023 1:39 AM",Дикси,Tinkoff,
Пакет для мусора,Others,1,30,30,"January 13, 2023 1:39 AM",Дикси,Tinkoff,
Тушенка,Meat,2,31,62,"January 13, 2023 1:40 AM",Дикси,Tinkoff,
Килька,Meat,2,33,66,"January 13, 2023 1:40 AM",Дикси,Tinkoff,
Геркулес,Primary,1,16,16,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Масло,Oil,1,73,73,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Печенье,Snack,1,50,50,"January 13, 2023 1:41 AM",Дикси,Tinkoff,
Колбаса,Meat,1,120,120,"January 13, 2023 1:42 AM",Дикси,Tinkoff,
Садака,Charity,1,1000,1000,"January 13, 2023 8:36 PM",Инсан,Tinkoff,
