Product,Category,Qty,Price,Total Price,Purchased at,Store,Source,Purchase Date
Шаверма от шера,Snack,1,170,170,"August 15, 2022 10:44 PM (GMT+3)",Шаверма от шера,Tinkoff,"August 16, 2022 2:44 AM (GMT+7)"
Бургер Кинг (Чизбургер),Snack,2,74.99,149.98,"August 17, 2022 3:42 AM",Бургер Кинг,Tinkoff,
Автобус,Transport,2,60,120,"August 17, 2022 3:43 AM",Авто,Tinkoff,
БСК,Transport,1,680,680,"August 17, 2022 3:43 AM",Авто,Tinkoff,
Шаверма от шера,Snack,1,170,170,"August 18, 2022 4:17 PM (GMT+3)",Шаверма от шера,Tinkoff,"August 18, 2022 8:17 PM (GMT+7)"
Автобус,Transport,1,60,60,"August 18, 2022 4:32 PM (GMT+3)",Авто,Tinkoff,"August 18, 2022 8:32 PM (GMT+7)"
Вода,Optionals,1,29.09,29.09,"August 18, 2022 6:13 PM (GMT+3)",Пятерочка,Tinkoff,"August 18, 2022 10:13 PM (GMT+7)"
Садака пятницу,Charity,1,1000,1000,"August 19, 2022 1:00 PM (GMT+3)",Мечеть,БСПБ МИР,"August 19, 2022 5:00 PM (GMT+7)"
Мороженое,Snack,1,78,78,"August 19, 2022 7:00 PM (GMT+3)",Вкусно и Точко,Tinkoff,"August 19, 2022 11:00 PM (GMT+7)"
Картофел,Snack,1,54,54,"August 19, 2022 7:00 PM (GMT+3)",Кфс,Tinkoff,"August 19, 2022 11:00 PM (GMT+7)"
Пышки,Snack,4,20,80,"August 20, 2022 7:38 PM",Pirli,Tinkoff,
Молоко,Optionals,1,69.89,69.89,"August 21, 2022 2:44 AM",Лента,Tinkoff,
Лук Красный,Vegetables,0.044,82.99,3.65156,"August 21, 2022 2:45 AM",Лента,Tinkoff,
Бананы,Fruit,0.478,39.89,19.06742,"August 21, 2022 2:45 AM",Лента,Tinkoff,
Сок моя семья,Optionals,1,64.99,64.99,"August 21, 2022 2:46 AM",Лента,Tinkoff,
Чизбургер,Snack,1,89,89,"August 22, 2022 11:02 PM",Кфс,Tinkoff,
Баскет с купоном 7070,Snack,1,299,299,"August 22, 2022 11:03 PM",Кфс,Tinkoff,
Садака,Charity,1,1000,1000,"August 26, 2022 5:33 PM",Инсан,Tinkoff,
Автобус,Transport,2,60,120,"August 26, 2022 5:00 PM (GMT+3)",Авто,Tinkoff,"August 26, 2022 9:00 PM (GMT+7)"
Монитор,IT Support,1,700,700,"August 26, 2022 5:30 PM (GMT+3)",Авито,БСПБ МИР,"August 26, 2022 9:30 PM (GMT+7)"
Ciban,Restaurant,1,690,690,"August 26, 2022 9:00 PM (GMT+3)",Ciban,Tinkoff,"August 27, 2022 1:00 AM (GMT+7)"
Рис 365,Primary,3,64.29,192.87,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Спагетти,Noodle,2,22.99,45.98,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Лапша доширак,Noodle,6,19.9,119.4,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Блинчики,Snack,2,37.9,75.8,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Морковь,Vegetables,0.8,22.59,18.072,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Капуста,Vegetables,0.6,79.99,47.994,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Картофель,Vegetables,2.85,19.89,56.6865,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Оreo,Snack,2,26.89,53.78,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Яйцо,Eggs,1,97.8,97.8,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Сок моя семья,Optionals,1,64.99,64.99,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Супер Контик,Snack,1,29.9,29.9,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Крабовые палочки 365,Optionals,1,36.49,36.49,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Мешки для мусора (Trashbag),Dormitory,1,19.9,19.9,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Наггетсы миратог,Optionals,1,219.99,219.99,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Масло 365,Oil,1,85.89,85.89,"August 27, 2022 5:33 PM (GMT+3)",Лента,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Корм для Кошек,Others,1,69.9,69.9,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Филе куриное,Meat,1,219.91,219.91,"August 27, 2022 5:33 PM (GMT+3)",Народны,Tinkoff,"August 27, 2022 9:33 PM (GMT+7)"
Диво Остров (Вход),Fun,1,100,100,"August 28, 2022 4:08 PM (GMT+3)",Диво Остров,Tinkoff,"August 28, 2022 8:08 PM (GMT+7)"
Aвтобус,Transport,1,60,60,"August 28, 2022 4:08 PM (GMT+3)",Авто,Tinkoff,"August 28, 2022 8:08 PM (GMT+7)"
Вода,Fast food,1,100,100,"August 28, 2022 4:30 PM (GMT+3)",Диво Остров,Tinkoff,"August 28, 2022 8:30 PM (GMT+7)"
Диво Остров (Roller Coaster),Fun,1,400,400,"August 28, 2022 5:08 PM (GMT+3)",Диво Остров,Tinkoff,"August 28, 2022 9:08 PM (GMT+7)"
Диво Остров (Ferris Wheel),Fun,1,300,300,"August 28, 2022 7:42 PM (GMT+3)",Диво Остров,Tinkoff,"August 28, 2022 11:42 PM (GMT+7)"
Whoosh,Fun,1,63,63,"August 28, 2022 10:03 PM (GMT+3)",Whoosh,Tinkoff,"August 29, 2022 2:03 AM (GMT+7)"
Бургер Кинг,Fast food,1,129.97,129.97,"August 28, 2022 10:15 PM (GMT+3)",Бургер Кинг,Tinkoff,"August 29, 2022 2:15 AM (GMT+7)"
Вода,Others,1,54.48,54.48,"August 29, 2022 2:05 PM (GMT+3)",Дикси,Tinkoff,"August 29, 2022 6:05 PM (GMT+7)"
Поезд,Transport,2,56,112,"August 29, 2022 2:58 PM (GMT+3)",Авто,Tinkoff,"August 29, 2022 6:58 PM (GMT+7)"
Oreo,Snack,2,53.78,107.56,"August 29, 2022 9:45 PM (GMT+3)",Лента,Tinkoff,"August 30, 2022 1:45 AM (GMT+7)"
Шаверма от шера,Snack,1,170,170,"August 29, 2022 9:49 PM (GMT+3)",Шаверма от шера,Tinkoff,"August 30, 2022 1:49 AM (GMT+7)"
Батон,Snack,1,15,15,"August 30, 2022 3:35 PM (GMT+3)",Дикси,Tinkoff,"August 30, 2022 7:35 PM (GMT+7)"
Батон,Snack,1,14,14,"September 1, 2022 7:06 PM (GMT+3)",Дикси,Tinkoff,"September 1, 2022 11:06 PM (GMT+7)"
Диво Остров (Вход),Fun,1,100,100,"September 3, 2022 6:57 PM (GMT+3)",Диво Остров,Tinkoff,"September 3, 2022 10:57 PM (GMT+7)"
